reward,training_time,waiting_time,avg_queue_length
-3228,5.691776,0,0.0
-3597,12.125478,39483,10.9675
-3418,18.755536,43738,12.149444444444445
-4293,25.433669,40914,11.365
-4091,31.996458,51437,14.288055555555555
-3433,38.402145,48754,13.542777777777777
-3777,44.728021,41241,11.455833333333333
-4911,51.525437,45707,12.696388888888889
-3305,57.775077,59479,16.521944444444443
-3064,63.967484,39736,11.037777777777778
-2987,70.085835,36294,10.081666666666667
-3341,76.369976,35629,9.896944444444445
-3444,82.714975,40325,11.20138888888889
-3371,88.992951,41636,11.565555555555555
-3859,95.32465,40213,11.170277777777779
-3618,101.740893,46701,12.9725
-3326,107.967842,42958,11.932777777777778
-2818,114.194597,40211,11.169722222222223
-3616,120.569512,33291,9.2475
-3312,126.777277,43560,12.1
-3293,133.035886,39461,10.961388888888889
-2703,139.000703,39667,11.018611111111111
-3717,145.49391,32070,8.908333333333333
-2992,151.693814,44177,12.27138888888889
-3631,157.974137,35487,9.8575
-2157,163.969849,44212,12.28111111111111
-3305,170.235422,25192,6.997777777777777
-2924,176.355593,39807,11.0575
-3152,182.61043,35361,9.8225
-3090,188.727154,37835,10.509722222222223
-3750,195.20157,36925,10.256944444444445
-2471,201.250875,44827,12.451944444444445
-2597,207.271885,28866,8.018333333333333
-2657,213.453189,31062,8.628333333333334
-3494,219.712352,31361,8.711388888888889
-2766,225.838282,41362,11.489444444444445
-2819,232.005753,33004,9.167777777777777
-2920,238.159847,33827,9.39638888888889
-3907,244.634666,34299,9.5275
-3326,250.882203,46195,12.831944444444444
-2906,257.096383,39899,11.083055555555555
-2936,263.168852,34731,9.6475
-2446,269.303041,35084,9.745555555555555
-2348,275.346053,29144,8.095555555555556
-2805,281.390286,27539,7.6497222222222225
-2949,287.496465,33555,9.320833333333333
-2923,293.761858,34977,9.715833333333334
-2655,299.833539,34754,9.653888888888888
-2740,306.19574,31044,8.623333333333333
-2206,312.071938,33013,9.170277777777779
-2509,318.157664,25574,7.103888888888889
-2981,324.394081,29566,8.212777777777777
-2726,330.639139,35390,9.830555555555556
-2835,336.853856,32384,8.995555555555555
-2357,342.782274,33517,9.310277777777777
-2560,348.83145,27647,7.679722222222222
-2459,354.9068,30600,8.5
-2141,360.806075,28639,7.955277777777778
-2613,366.870113,24807,6.890833333333333
-2692,373.014987,30419,8.449722222222222
-2521,379.086721,31684,8.801111111111112
-2398,385.199927,29752,8.264444444444445
-2807,391.328584,28469,7.908055555555555
-2310,397.321621,33235,9.231944444444444
-2363,403.341616,26870,7.463888888888889
-2019,409.217494,28095,7.804166666666666
-1986,415.186839,23201,6.4447222222222225
-2336,421.243013,22758,6.321666666666666
-2397,427.225107,27632,7.6755555555555555
-1962,433.095821,27878,7.743888888888889
-2218,439.032976,22871,6.353055555555556
-2113,444.979489,26045,7.2347222222222225
-2113,451.017762,24813,6.8925
-2335,456.984861,24877,6.910277777777778
-2867,463.137665,27652,7.681111111111111
-2401,469.229169,33631,9.341944444444444
-2295,475.277349,28422,7.895
-2474,481.406263,27323,7.589722222222222
-2362,487.400789,29131,8.091944444444444
-2219,493.306271,27899,7.749722222222222
-2139,499.326243,25830,7.175
-2038,505.166973,24827,6.896388888888889
-2422,511.173107,23645,6.5680555555555555
-2352,517.214879,28623,7.950833333333334
-2267,523.154862,27228,7.5633333333333335
-1945,528.998688,26919,7.4775
-2448,535.009577,22433,6.231388888888889
-2446,541.047058,28664,7.9622222222222225
-1870,546.934665,28914,8.031666666666666
-2392,552.901001,21655,6.0152777777777775
-2064,558.743824,28535,7.926388888888889
-2146,564.69811,23982,6.661666666666667
-2050,570.583324,25436,7.065555555555555
-2414,576.549977,23976,6.66
