,reward
0,-3447
1,-2481
2,-3065
3,-2243
4,-2203
5,-2806
6,-2525
7,-2583
8,-2229
9,-2291
10,-2288
11,-2406
12,-2865
13,-2704
14,-2263
15,-2386
16,-2688
17,-2654
18,-2512
19,-2203
20,-2370
21,-2313
22,-2470
23,-2244
24,-2693
25,-2285
26,-2436
27,-2378
28,-2970
29,-3148
30,-2803
31,-2729
32,-2164
33,-2226
34,-2523
35,-2087
36,-2179
37,-2718
38,-2769
39,-2495
40,-2593
41,-2709
42,-2185
43,-2550
44,-2403
45,-2530
46,-2540
47,-2278
48,-2460
49,-2576
50,-2356
51,-3079
52,-2019
53,-2622
54,-2663
55,-2298
56,-2340
57,-3140
58,-2439
59,-2394
60,-3144
61,-2443
62,-1984
63,-2190
64,-2038
65,-2368
66,-2167
67,-1985
68,-2067
69,-2449
70,-1929
71,-2238
72,-2347
73,-2517
74,-2225
75,-2202
76,-2073
77,-2307
78,-2526
79,-2588
80,-2774
81,-2247
82,-2199
83,-2347
84,-2425
85,-2192
86,-2192
87,-2312
88,-2035
89,-2177
90,-2048
91,-2166
92,-2019
93,-2294
94,-2141
95,-2161
96,-2274
97,-2186
98,-2177
99,-1793
100,-2364
101,-2193
102,-2213
103,-2161
104,-1816
105,-1859
106,-3025
107,-2102
108,-2077
109,-2106
110,-1960
111,-2268
112,-1995
113,-2356
114,-2335
115,-2057
116,-2161
117,-2050
118,-2163
119,-1721
120,-1988
121,-1961
122,-2113
123,-2016
124,-1762
125,-1654
126,-5007
127,-2024
128,-2298
129,-1739
130,-1670
131,-1808
132,-2121
133,-2043
134,-1905
135,-2343
136,-2081
137,-1937
138,-2176
139,-2050
140,-2247
141,-2164
142,-2123
143,-1959
144,-1811
145,-1920
146,-1776
147,-1942
148,-1843
149,-1976
150,-2220
151,-1818
152,-2247
153,-1930
154,-2422
155,-1853
156,-2219
157,-2016
158,-2022
159,-2089
160,-2069
161,-1759
162,-1844
163,-1821
164,-2170
165,-1917
166,-1809
167,-1812
168,-2093
169,-2149
170,-1956
171,-1990
172,-1674
173,-1977
174,-2120
175,-2054
176,-2050
177,-1921
178,-2351
179,-2111
180,-1580
181,-2025
182,-1874
183,-2027
184,-2127
185,-2223
186,-2055
187,-1987
188,-2127
189,-2113
190,-2083
191,-1949
192,-1791
193,-1675
194,-1675
195,-2325
196,-2056
197,-1902
198,-1751
199,-2074
200,-1897
201,-2122
202,-2027
203,-1847
204,-1759
205,-1867
206,-1970
207,-1982
208,-1908
209,-1991
210,-1758
211,-2009
212,-2035
213,-1926
214,-1698
215,-1924
216,-1844
217,-1924
218,-1985
219,-1773
220,-2710
221,-2135
222,-1941
223,-1802
224,-1917
225,-1973
226,-1928
227,-1752
228,-1727
229,-1698
230,-1878
231,-1635
232,-1939
233,-1727
234,-1862
235,-2001
236,-1680
237,-1957
238,-1852
239,-1561
240,-2195
241,-1804
242,-1758
243,-1539
244,-1868
245,-1998
246,-1581
247,-2039
248,-1835
249,-1838
250,-1659
251,-1824
252,-1756
253,-1833
254,-1636
255,-1948
256,-2263
257,-1900
258,-1634
259,-2003
260,-1853
261,-1609
262,-1508
263,-1811
264,-1875
265,-1655
266,-1648
267,-1834
268,-1729
269,-1883
270,-1687
271,-1576
272,-1758
273,-1680
274,-1842
275,-1687
276,-1772
277,-1724
278,-1784
279,-1832
280,-1900
281,-1831
282,-1677
283,-1413
284,-1833
285,-1487
286,-1815
287,-1539
288,-1858
289,-1717
290,-1884
291,-1703
292,-1738
293,-1614
294,-1702
295,-1543
296,-1617
297,-1869
298,-1626
299,-1641
300,-1793
301,-1748
302,-1894
303,-1707
304,-1616
305,-2010
306,-1910
307,-1659
308,-1730
309,-2175
310,-1652
311,-1590
312,-1978
313,-1776
314,-1660
315,-1997
316,-1479
317,-1789
318,-1792
319,-1592
320,-1706
321,-1712
322,-1718
323,-1942
324,-1555
325,-1592
326,-1749
327,-1921
328,-1755
329,-1640
330,-1683
331,-1511
332,-1584
333,-1864
334,-1670
335,-1717
336,-1605
337,-1793
338,-1654
339,-1453
340,-1552
