,reward
0,-4703
1,-3197
2,-3387
3,-3178
4,-2887
5,-3629
6,-3123
7,-3192
8,-3867
9,-3223
10,-3334
11,-3104
12,-3811
13,-3473
14,-3270
15,-3709
16,-3263
17,-2842
18,-4004
19,-3154
20,-4776
21,-3423
22,-3549
23,-3571
24,-3292
25,-3847
26,-2675
27,-3435
28,-4261
29,-2860
30,-3950
31,-2854
32,-3374
33,-2873
34,-3498
35,-2879
36,-3351
37,-3470
38,-3622
39,-3634
40,-3222
41,-3612
42,-3273
43,-2685
44,-2734
45,-3258
46,-2821
47,-3437
48,-3202
49,-3117
50,-2802
51,-3630
52,-3854
53,-3474
54,-3815
55,-2888
56,-3307
57,-2595
58,-3473
59,-3043
60,-3831
61,-2812
62,-4154
63,-2990
64,-3718
65,-3501
66,-3640
67,-2866
68,-2656
69,-2792
70,-3101
71,-3182
72,-2766
73,-3497
74,-2755
75,-2598
76,-3344
77,-3398
78,-2926
79,-2941
80,-2615
81,-2983
82,-3021
83,-3043
84,-3264
85,-2638
86,-2736
87,-3255
88,-3011
89,-3310
90,-2597
91,-3263
92,-2734
93,-3567
94,-2836
95,-3764
96,-3107
97,-2776
98,-4789
99,-2752
100,-2578
101,-2894
102,-3870
103,-2404
104,-3696
105,-2918
106,-3208
107,-3072
108,-3591
109,-3025
110,-2714
111,-3306
112,-3707
113,-2823
114,-2946
115,-3103
116,-3096
117,-2997
118,-3054
119,-2668
120,-2563
121,-3132
122,-3057
123,-2937
124,-2913
125,-2867
126,-2865
127,-2804
128,-3019
129,-2714
130,-2835
131,-3104
132,-2847
133,-2930
134,-3317
135,-3482
136,-2350
137,-3052
138,-2522
139,-2308
140,-3652
141,-3341
142,-2584
143,-2777
144,-3103
145,-2561
146,-2892
147,-2759
148,-3146
149,-2796
150,-2979
151,-2895
152,-2616
153,-2314
154,-2801
155,-3207
156,-3138
157,-3417
158,-3147
159,-2978
160,-2228
161,-3011
162,-3395
163,-2966
164,-2535
165,-2517
166,-2930
167,-2983
168,-2812
169,-2981
170,-2656
171,-2723
172,-3181
173,-2771
174,-2612
175,-3654
176,-2579
177,-2734
178,-2899
179,-2860
180,-2731
181,-2459
182,-2389
183,-3310
184,-3114
185,-2538
186,-3174
187,-2484
188,-2864
189,-2989
190,-2809
191,-2603
192,-2590
193,-3513
194,-3027
195,-2684
196,-2898
197,-2638
198,-2667
199,-3118
200,-2645
201,-3152
202,-3042
203,-2597
204,-3037
205,-3792
206,-2671
207,-2843
208,-2514
209,-2805
210,-3663
211,-2492
212,-2955
213,-2498
214,-2618
215,-2447
216,-2789
217,-2491
218,-2714
219,-2836
220,-3048
221,-2490
222,-2789
223,-2817
224,-2831
225,-2646
226,-2173
227,-2615
228,-2614
229,-2768
230,-3008
231,-2657
232,-3001
233,-2634
234,-2458
235,-3921
236,-2693
237,-2354
238,-2693
239,-2702
240,-2872
241,-2449
242,-2480
243,-2956
244,-3245
245,-2436
246,-3056
247,-2501
248,-2183
249,-2689
250,-2904
251,-3062
252,-2626
253,-2557
254,-3055
255,-2679
256,-2370
257,-2328
258,-2748
259,-2864
260,-3012
261,-2725
262,-2764
263,-2810
264,-2543
265,-2350
266,-2464
267,-2561
268,-2552
269,-2430
270,-2439
271,-2663
272,-2655
273,-2119
274,-2043
275,-2747
276,-2893
277,-2353
278,-2474
279,-2369
280,-3046
281,-3250
282,-2933
283,-3147
284,-2216
285,-2638
286,-3646
287,-2704
288,-2404
289,-2561
290,-3032
291,-3027
292,-2593
293,-2374
294,-2640
295,-2973
296,-2761
297,-2754
298,-2777
299,-4027
300,-2567
301,-2146
302,-2630
303,-2392
304,-2594
305,-2461
306,-2774
307,-2381
308,-2366
309,-2657
310,-2041
311,-2883
312,-2408
313,-2720
314,-2302
315,-2941
316,-2966
317,-2866
318,-2812
319,-2129
320,-2777
321,-2660
322,-2942
323,-2696
324,-2416
325,-4310
326,-2788
327,-2482
328,-2700
329,-2413
330,-3324
331,-2815
332,-3030
333,-2117
334,-2389
335,-3035
336,-2632
337,-2787
338,-2621
339,-2310
340,-2243
341,-3072
342,-2803
343,-2531
344,-2486
345,-2343
346,-3215
347,-2753
348,-2798
349,-2526
350,-2629
351,-3132
352,-2866
353,-2196
354,-2835
355,-2567
356,-2497
357,-2499
358,-2678
359,-2979
360,-2588
361,-2541
362,-2924
363,-2071
364,-2646
365,-2663
366,-2959
367,-3001
368,-2528
369,-2455
370,-2713
371,-3824
372,-3197
373,-2731
374,-2840
375,-2691
376,-2339
377,-2613
378,-2985
379,-3059
380,-2840
381,-2382
382,-2472
383,-2074
384,-2804
385,-2711
386,-2556
387,-2174
388,-2701
389,-2375
390,-2403
391,-2728
392,-2715
393,-3025
394,-2997
395,-2638
396,-2499
397,-2267
398,-2537
399,-2498
400,-2450
401,-2526
402,-2681
403,-2689
404,-2494
405,-2648
406,-2500
407,-2977
408,-2398
409,-2429
410,-2638
411,-2997
412,-2692
413,-2454
414,-2761
415,-2661
416,-2255
417,-2654
418,-2420
419,-2449
420,-2511
421,-2154
422,-2792
423,-2948
424,-2889
425,-2394
426,-2224
427,-2358
428,-2452
429,-2871
430,-2383
431,-2842
432,-2184
433,-2960
434,-3178
435,-2508
436,-2658
437,-2611
438,-2649
439,-2758
440,-2456
441,-1886
442,-2375
443,-2329
444,-2182
445,-2719
446,-2379
447,-2284
448,-2321
449,-2622
450,-2855
451,-2911
452,-2446
453,-2553
454,-2591
455,-2363
456,-2699
457,-2189
458,-2192
459,-3152
460,-2615
461,-2437
462,-2430
463,-2283
464,-2579
465,-2491
466,-2760
467,-2756
468,-2764
469,-2236
470,-2782
471,-2546
472,-2231
473,-2660
474,-2602
475,-2239
476,-2287
477,-2403
478,-2258
479,-2557
480,-2662
481,-2379
482,-3021
483,-2558
484,-2998
485,-2295
486,-2620
487,-2685
488,-2104
489,-2673
490,-3081
491,-3600
492,-2415
493,-2471
494,-2479
495,-2392
496,-2645
497,-2783
498,-2379
499,-2459
500,-2285
501,-2766
502,-2463
503,-2508
504,-2531
505,-3039
506,-2690
507,-2891
508,-2696
509,-2514
510,-2630
511,-2318
512,-2388
513,-2094
514,-2887
515,-2427
516,-2501
517,-2811
518,-2411
519,-2376
520,-2536
521,-2715
522,-2700
523,-3008
524,-2352
525,-2240
526,-2874
527,-2271
528,-2888
529,-2376
530,-2674
531,-2279
532,-2155
533,-3042
534,-2575
535,-2416
536,-2428
537,-2491
538,-2599
539,-2304
540,-3046
541,-2254
542,-2475
543,-3203
544,-2322
545,-2423
