,reward
0,-4178
1,-3717
2,-4091
3,-5155
4,-4195
5,-2788
6,-4063
7,-4053
8,-3690
9,-3414
10,-3712
11,-4248
12,-3976
13,-3950
14,-3210
15,-3313
16,-5054
17,-4577
18,-3284
19,-3395
20,-3948
21,-4251
22,-3721
23,-3453
24,-3874
25,-3974
26,-3814
27,-3213
28,-4056
29,-3574
30,-3475
31,-3397
32,-3520
33,-3452
34,-3935
35,-4096
36,-3468
37,-5619
38,-3466
39,-4220
40,-3807
41,-3651
42,-4138
43,-3515
44,-3337
45,-3139
46,-4761
47,-3683
48,-4822
49,-4285
50,-3454
51,-3604
52,-4053
53,-3389
54,-4014
55,-3883
56,-3204
57,-3430
58,-4161
59,-5583
60,-3210
61,-4268
62,-4641
63,-3371
64,-3345
65,-4200
66,-3846
67,-3504
68,-3752
69,-3539
70,-3650
71,-3811
72,-3384
73,-4339
74,-3027
75,-3289
76,-3750
77,-3823
78,-3685
79,-3329
80,-3380
81,-3383
82,-4088
83,-3599
84,-3481
85,-3947
86,-3690
87,-3841
88,-3525
89,-4217
90,-3524
91,-3204
92,-3426
93,-3754
94,-3708
95,-3371
96,-2814
97,-3685
98,-3644
99,-4500
100,-3836
101,-3435
102,-3170
103,-3336
104,-3445
105,-3522
106,-3291
107,-3889
108,-3787
109,-2953
110,-3491
111,-4137
112,-3397
113,-3657
114,-3266
115,-3781
116,-3394
117,-3108
118,-3490
119,-3614
120,-3101
121,-3041
122,-3177
123,-3212
124,-3022
125,-4343
126,-3162
127,-2830
128,-3346
129,-3356
130,-3323
131,-3303
132,-3207
133,-3622
134,-3039
135,-3874
136,-3687
137,-3636
138,-3164
139,-3888
140,-3385
141,-3047
142,-3115
143,-3975
144,-3419
145,-3413
146,-3657
147,-3217
148,-3881
149,-3537
150,-3415
151,-2813
152,-4331
153,-3444
154,-3861
155,-3367
156,-4136
157,-2758
158,-2797
159,-3822
160,-3119
161,-3200
162,-3091
163,-2896
164,-3163
165,-3540
166,-3027
167,-3118
168,-3276
169,-3208
170,-3748
171,-2809
172,-3481
173,-3197
174,-2966
175,-3385
176,-3312
177,-2928
178,-3056
179,-3185
180,-3315
181,-3646
182,-3691
183,-3122
184,-3299
185,-3206
186,-3012
187,-3223
188,-3476
189,-3228
190,-3353
191,-3398
192,-2961
193,-3044
194,-3208
195,-3608
196,-3212
197,-3302
198,-3262
199,-3008
200,-3455
201,-3791
202,-3284
203,-3340
204,-3827
205,-3697
206,-3270
207,-2679
208,-3227
209,-3428
210,-3453
211,-3139
212,-3274
213,-3041
214,-3207
215,-3241
216,-3547
217,-3507
218,-3387
219,-3325
220,-2952
221,-3141
222,-3918
223,-4142
224,-3149
225,-3121
226,-2728
227,-3153
228,-3167
