,reward
0,-4178
1,-3717
2,-4167
3,-5155
4,-4350
5,-2788
6,-3979
7,-4053
8,-3829
9,-3519
10,-3823
11,-3930
12,-3896
13,-3723
14,-3262
15,-3293
16,-5058
17,-4423
18,-3249
19,-3462
20,-3982
21,-4139
22,-3661
23,-3356
24,-3608
25,-4032
26,-3870
27,-2913
28,-3845
29,-3451
30,-3383
31,-3589
32,-3520
33,-3586
34,-3661
35,-4322
36,-3453
37,-5408
38,-3437
39,-4154
40,-3800
41,-3579
42,-3789
43,-3441
44,-3171
45,-3030
46,-5043
47,-3508
48,-4960
49,-3707
50,-3356
51,-3736
52,-4003
53,-3517
54,-3744
55,-3809
56,-2998
57,-3626
58,-3997
59,-5290
60,-3276
61,-4082
62,-4735
63,-3404
64,-3454
65,-3952
66,-3682
67,-3585
68,-3724
69,-3432
70,-3170
71,-3648
72,-3375
73,-4159
74,-3149
75,-3320
76,-3571
77,-4079
78,-3467
79,-3180
80,-3276
81,-3346
82,-3511
83,-3627
84,-3381
85,-3913
86,-3598
87,-3507
88,-3507
89,-4030
90,-3472
91,-3707
92,-3451
93,-3820
94,-3409
95,-3574
96,-2905
97,-3776
98,-3254
99,-4159
100,-3651
101,-3250
102,-3246
103,-3113
104,-3315
105,-3368
106,-3487
107,-3602
108,-3757
109,-3110
110,-3570
111,-3950
112,-3468
113,-3666
114,-3442
115,-3855
116,-2870
117,-2971
118,-3799
119,-3508
120,-3337
121,-3200
122,-3079
123,-3194
124,-3126
125,-4269
126,-3330
127,-3133
128,-3441
129,-3606
130,-3362
131,-2930
132,-3251
133,-3346
134,-3143
135,-3780
136,-3646
137,-3889
138,-3111
139,-3906
140,-3665
141,-3181
142,-3220
143,-3742
144,-2883
145,-3670
146,-3910
147,-2931
148,-3381
149,-3196
150,-3081
151,-2899
152,-4174
153,-3535
154,-4026
155,-3605
156,-3977
157,-3219
158,-2717
159,-3524
160,-3013
161,-3330
162,-3086
163,-2881
164,-2958
165,-3470
166,-2974
167,-3144
168,-3341
169,-3429
170,-3645
171,-3254
172,-3496
173,-3606
174,-3069
175,-3388
176,-3817
177,-3270
178,-3107
179,-3151
180,-3097
181,-3397
182,-3458
183,-3707
184,-3386
185,-3273
186,-3067
187,-3695
188,-3702
189,-3292
190,-3684
191,-3382
192,-3178
193,-3000
194,-3122
195,-3596
196,-3162
197,-3441
198,-3844
199,-3492
200,-3644
201,-3206
202,-3240
203,-3459
204,-3793
205,-4043
206,-3553
207,-2948
208,-3385
209,-3668
210,-3161
211,-3370
212,-3564
213,-2956
214,-3279
215,-3475
216,-2754
217,-3881
218,-3577
219,-3358
220,-2997
221,-3104
222,-3788
223,-3161
224,-3445
225,-3085
226,-2887
227,-3234
228,-3122
