,reward
0,-5019
1,-3313
2,-2808
3,-3698
4,-3313
5,-3200
6,-3027
7,-3616
8,-3358
9,-3627
10,-3211
11,-3877
12,-3592
13,-3665
14,-3246
15,-4127
16,-4021
17,-3713
18,-2986
19,-3374
20,-3350
21,-3509
22,-3344
23,-3044
24,-4084
25,-2857
26,-3480
27,-3040
28,-3862
29,-2982
30,-3501
31,-2859
32,-2998
33,-3294
34,-2982
35,-3756
36,-2958
37,-3035
38,-4088
39,-3306
40,-3232
41,-3814
42,-2751
43,-2626
44,-2967
45,-3931
46,-4074
47,-3044
48,-3572
49,-3778
50,-3234
51,-3339
52,-2814
53,-3442
54,-2951
55,-3054
56,-3667
57,-3240
58,-3056
59,-3523
60,-2618
61,-3402
62,-2997
63,-3087
64,-3318
65,-3120
66,-2718
67,-2556
68,-3242
69,-5695
70,-3540
71,-2936
72,-5349
73,-2580
74,-5409
75,-3393
76,-3240
77,-2894
78,-2998
79,-3077
80,-3376
81,-2837
82,-3332
83,-3581
84,-2449
85,-2813
86,-2825
87,-2960
88,-2997
89,-3303
90,-3032
91,-3106
92,-3066
93,-2582
94,-2371
95,-2976
96,-3772
97,-4384
98,-3830
99,-3742
100,-3426
101,-2898
102,-3691
103,-2572
104,-3594
105,-2983
106,-2761
107,-2862
108,-3388
109,-3108
110,-2949
111,-2971
112,-2777
113,-2800
114,-2842
115,-3002
116,-2962
117,-2843
118,-2624
119,-3070
120,-3613
121,-2909
122,-2544
123,-3769
124,-2706
125,-2951
126,-2855
127,-2714
128,-3011
129,-3462
130,-2832
131,-3411
132,-3046
133,-2825
134,-2919
135,-3348
136,-2902
137,-3029
138,-3229
139,-2819
140,-3529
141,-2703
142,-2242
143,-3327
144,-3024
145,-2817
146,-3071
147,-2774
148,-2891
149,-2943
150,-4570
151,-3052
152,-3072
153,-3384
154,-2804
155,-2941
156,-2293
157,-2565
158,-2755
159,-2785
160,-2902
161,-2865
162,-2882
163,-3912
164,-2869
165,-2832
166,-2677
167,-2748
168,-3109
169,-3368
170,-2885
171,-2961
172,-2623
173,-2586
174,-2851
175,-2577
176,-2935
177,-2331
178,-2775
179,-3107
180,-2519
181,-3312
182,-2859
183,-2918
184,-2527
185,-3021
186,-3412
187,-2682
188,-2916
189,-3045
190,-3323
191,-3044
192,-2974
193,-2560
194,-2570
195,-2893
196,-2797
197,-3475
198,-2639
199,-2807
200,-2798
201,-3180
202,-2648
203,-2778
204,-3311
205,-3169
206,-2857
207,-2753
208,-2858
209,-2159
210,-2926
211,-2904
212,-3595
213,-2982
214,-2535
215,-2499
216,-2318
217,-3019
218,-2722
219,-3020
220,-3218
221,-2889
222,-2716
223,-2872
224,-2555
225,-2872
226,-4731
227,-3086
228,-3015
229,-2959
230,-2491
231,-2680
232,-2713
233,-2919
234,-2274
235,-2283
236,-2723
237,-3164
238,-2774
239,-2804
240,-2712
241,-2843
242,-3041
243,-3342
244,-2916
245,-2486
246,-2802
247,-3293
248,-2618
249,-2633
250,-2614
251,-2699
252,-2551
253,-2644
254,-2841
255,-2766
256,-2544
257,-2861
258,-2994
259,-2886
260,-2618
261,-2793
262,-3069
263,-2538
264,-2660
265,-2392
266,-2927
267,-2871
268,-3424
269,-2459
270,-2623
271,-2554
272,-2738
273,-3145
274,-2490
275,-2905
276,-3066
277,-2515
278,-3424
279,-2869
280,-2210
281,-2335
282,-2915
283,-2666
284,-2663
285,-2530
286,-2377
287,-2817
288,-2476
289,-2750
290,-2569
291,-2383
292,-2228
293,-2317
294,-2553
295,-2665
296,-2577
297,-2894
298,-2940
299,-2939
300,-3106
301,-2202
302,-2719
303,-2740
304,-2924
305,-3458
306,-3131
307,-2912
308,-2981
309,-3598
310,-2734
311,-3198
312,-2444
313,-2372
314,-2665
315,-3649
316,-2640
317,-2640
318,-2425
319,-3100
320,-2707
321,-2900
322,-2258
323,-2593
324,-2990
325,-2610
326,-2654
327,-2890
328,-2494
329,-2456
330,-2745
331,-2562
332,-2694
333,-2688
334,-2893
335,-2198
336,-2735
337,-3082
338,-3374
339,-3412
340,-2851
341,-2639
342,-2881
343,-2535
344,-2634
345,-2721
346,-2759
347,-2366
348,-3111
349,-3420
350,-2642
351,-2780
352,-3042
353,-3150
354,-2351
355,-2452
356,-2599
357,-2768
358,-3073
359,-2635
360,-2542
361,-2554
362,-2556
363,-2252
364,-3047
365,-2410
366,-2361
367,-2261
368,-2859
369,-3286
370,-3058
371,-2697
372,-3088
373,-2519
374,-2924
375,-2252
376,-2485
377,-3909
378,-2669
379,-2667
380,-2553
381,-2863
382,-2737
383,-3047
384,-3959
385,-2789
386,-2260
387,-3010
388,-2505
389,-2661
390,-2410
391,-2423
392,-2336
393,-2951
394,-2582
395,-2725
396,-3484
397,-3010
398,-2435
399,-3061
400,-2815
401,-3229
402,-2932
403,-2439
404,-2484
405,-2816
406,-2651
407,-2644
408,-2635
409,-2606
410,-2350
411,-2528
412,-2992
413,-2932
414,-3077
415,-2579
416,-2452
417,-2497
418,-2748
419,-2492
420,-2875
421,-2554
422,-2981
423,-2786
424,-3233
425,-2999
426,-2704
427,-2914
428,-2613
429,-2473
430,-2631
431,-2745
432,-2571
433,-2491
434,-2601
435,-2857
436,-2478
437,-2854
438,-2643
439,-2842
440,-2535
441,-2652
442,-2899
443,-2457
444,-2354
445,-3077
446,-2838
447,-2732
448,-2969
449,-2667
450,-2827
451,-2649
452,-2905
453,-2661
454,-3004
455,-2575
456,-3201
457,-2470
458,-2707
459,-2494
460,-2568
461,-2903
462,-2537
463,-2461
464,-2694
465,-2474
466,-2592
467,-2431
468,-3632
469,-2651
470,-2383
471,-2607
472,-3491
473,-2515
474,-2520
475,-2716
476,-2955
477,-2781
478,-2707
479,-2162
480,-2681
481,-2466
482,-2969
483,-2411
484,-3071
485,-3403
486,-2301
487,-2665
488,-4600
489,-2946
490,-2589
491,-2338
492,-2803
493,-2207
494,-2354
495,-3418
496,-2511
497,-2772
498,-2173
499,-2890
500,-2690
501,-2957
502,-2828
503,-2722
504,-3054
505,-3077
506,-2928
507,-4227
508,-2812
509,-5063
510,-2383
511,-3645
512,-2746
513,-3047
514,-2857
515,-2486
516,-2890
517,-2600
518,-2489
519,-2297
520,-2657
521,-2589
522,-3045
523,-2780
524,-2602
525,-4890
526,-3136
527,-3037
528,-2835
529,-2332
530,-2621
531,-2574
532,-2975
533,-4912
534,-2184
535,-2328
536,-2695
537,-2738
538,-2833
539,-2589
540,-2654
541,-2940
542,-2223
543,-2775
544,-2785
545,-2417
546,-3500
547,-2847
548,-2144
549,-2776
550,-3257
551,-2996
552,-2755
553,-2028
554,-2628
555,-2470
556,-3318
557,-2535
558,-2995
559,-2534
560,-2576
561,-2533
562,-2956
563,-2551
564,-2372
565,-2712
566,-2696
567,-2468
568,-2902
569,-2793
570,-2252
571,-2815
572,-2554
573,-2922
574,-2450
575,-2557
576,-2558
577,-2741
578,-2650
579,-2252
580,-3081
581,-2521
582,-3159
583,-2695
584,-3750
585,-2408
586,-2903
587,-2279
588,-2763
589,-3364
590,-2593
591,-2531
592,-2220
593,-2613
594,-3071
595,-2553
596,-2668
597,-2634
598,-2439
599,-2594
600,-2663
601,-2555
602,-2379
603,-2738
604,-2560
605,-3354
606,-2397
607,-2426
608,-2966
609,-2516
610,-5150
611,-3216
612,-2631
613,-3028
614,-2770
615,-3727
616,-2383
617,-2181
618,-2297
619,-3022
620,-2336
621,-2951
622,-2964
623,-4053
624,-2505
625,-2810
626,-2964
627,-2160
628,-2918
629,-2244
630,-3351
631,-2712
632,-2360
633,-2682
634,-2669
635,-2718
636,-2701
637,-2249
638,-2273
639,-2250
640,-2786
641,-2699
642,-2446
643,-2043
644,-2487
645,-2639
646,-2968
647,-2686
648,-2577
649,-2698
650,-2395
651,-2308
652,-2689
653,-2637
654,-2952
655,-2332
656,-2598
657,-2274
658,-2485
659,-3236
660,-2776
661,-2669
662,-2261
663,-2486
664,-2296
665,-2116
666,-2876
667,-2612
668,-2718
669,-2537
670,-3731
671,-2352
672,-3638
673,-3028
674,-2683
675,-2860
676,-3034
677,-3057
678,-3335
679,-5637
680,-2539
681,-3112
682,-2748
683,-2669
684,-3163
685,-3162
686,-2775
687,-2379
688,-2107
689,-3093
690,-2522
691,-2774
692,-2110
693,-2242
694,-2804
695,-2613
696,-2177
697,-2432
698,-2640
699,-2691
700,-3871
701,-2460
702,-2407
703,-2559
704,-3927
705,-2883
706,-3031
707,-2125
708,-3519
709,-3665
710,-2847
711,-2603
712,-2898
713,-2811
714,-2550
715,-3110
716,-1978
717,-2480
718,-2912
719,-2365
720,-2559
721,-2585
722,-2604
723,-2214
724,-3373
725,-2647
726,-2499
727,-2488
728,-3423
729,-2576
730,-3165
731,-2953
732,-2600
733,-2304
734,-2768
735,-2726
736,-3052
737,-2649
738,-2503
739,-2768
740,-2402
741,-3567
742,-2819
743,-2334
744,-2544
745,-2620
746,-3264
747,-3004
748,-2431
749,-2439
750,-2450
751,-2642
752,-2441
753,-2576
754,-2695
755,-3155
756,-2167
757,-2565
758,-2527
759,-3010
760,-5255
761,-2388
762,-2919
763,-2380
764,-2357
765,-2560
766,-4860
767,-3063
768,-3118
769,-2371
770,-2538
771,-2740
772,-3472
773,-3559
774,-3149
775,-2134
776,-3222
777,-2615
778,-2929
779,-2001
780,-3001
781,-2651
782,-2384
783,-2811
784,-2210
785,-3334
786,-2347
787,-2698
788,-3373
789,-3264
790,-2644
791,-2558
792,-2263
793,-3048
794,-2399
795,-2700
796,-2617
797,-2740
798,-2813
799,-2609
800,-2750
801,-2758
802,-2558
803,-2786
804,-2275
805,-4702
806,-2270
807,-2265
808,-2599
809,-2790
810,-3106
811,-2269
812,-3330
813,-2805
814,-2560
815,-2196
816,-2349
817,-2068
818,-2768
819,-3075
820,-2486
821,-2347
822,-2069
823,-2398
824,-3241
825,-2745
826,-2400
827,-2441
828,-2360
829,-2111
830,-2865
831,-2437
832,-2568
833,-2550
834,-2445
835,-2263
836,-2543
837,-2665
838,-3043
839,-2742
840,-2862
841,-2164
842,-2896
843,-2231
844,-3664
845,-2866
846,-2494
847,-2413
848,-2928
849,-3488
850,-3199
851,-2716
852,-2709
853,-2608
854,-4100
855,-4714
856,-3010
857,-2873
858,-2210
859,-2327
860,-3001
861,-2361
862,-2561
863,-2012
864,-2574
865,-2891
866,-2520
867,-2007
868,-3153
869,-2689
870,-2461
871,-2580
872,-2933
873,-2729
874,-3640
875,-2615
876,-3155
877,-2411
878,-2316
879,-2042
880,-1991
881,-3712
882,-2641
883,-2755
884,-2240
885,-2160
886,-2836
887,-2309
888,-2443
889,-2852
890,-2948
891,-2739
892,-2171
893,-2168
894,-2444
895,-3005
896,-2459
897,-2292
898,-3561
899,-2083
900,-2195
901,-2527
902,-2489
903,-3213
904,-2239
905,-2228
906,-2503
907,-2554
908,-2180
909,-2101
910,-3106
911,-2469
912,-2854
913,-2837
914,-2740
915,-2933
916,-2572
917,-2375
918,-2200
919,-2151
920,-2684
921,-2091
922,-2312
923,-3804
924,-2370
925,-2040
926,-2103
927,-2737
928,-2548
929,-2345
930,-2406
931,-2399
932,-2340
933,-2220
934,-3208
935,-3543
936,-3025
937,-2463
938,-2844
939,-2473
940,-2377
941,-2168
942,-2519
943,-3709
944,-2734
945,-2160
946,-2315
947,-3776
948,-2863
949,-2413
950,-3175
951,-2665
952,-2507
953,-2255
954,-2890
955,-2625
956,-3650
957,-2639
958,-2218
959,-2523
960,-2130
961,-2198
962,-2577
963,-2294
964,-2317
965,-2077
966,-3143
967,-2712
968,-2447
969,-2191
970,-2404
971,-3233
972,-2406
973,-2081
974,-2634
975,-2553
976,-2910
977,-3409
978,-2381
979,-2098
980,-2814
981,-2088
982,-1970
983,-2746
984,-2277
985,-2994
986,-2783
987,-2576
988,-2325
989,-2111
990,-2605
991,-2327
992,-2665
993,-2310
994,-5081
995,-2513
996,-2259
997,-2652
998,-2399
999,-2241
1000,-3547
1001,-2578
1002,-2930
1003,-2085
1004,-2558
1005,-2257
1006,-2459
1007,-2695
1008,-2424
1009,-2731
1010,-2191
1011,-2546
1012,-2325
1013,-2402
1014,-2439
1015,-2655
1016,-2333
1017,-2519
1018,-2492
1019,-2429
1020,-3201
1021,-3249
1022,-2282
1023,-2502
1024,-2803
1025,-2554
1026,-2547
1027,-2242
1028,-2097
1029,-2341
1030,-2254
1031,-2558
1032,-2580
1033,-2756
1034,-2295
1035,-3091
1036,-2278
1037,-2268
1038,-2871
1039,-2857
1040,-2625
1041,-2566
1042,-2444
1043,-2883
1044,-3144
1045,-3230
1046,-2197
1047,-2349
1048,-2554
1049,-2929
1050,-2496
1051,-3159
1052,-2382
1053,-2949
1054,-2767
1055,-1971
1056,-2711
1057,-2167
1058,-2381
1059,-2467
1060,-2632
1061,-2194
1062,-2461
1063,-2368
1064,-2715
1065,-2022
1066,-2289
1067,-2348
1068,-2414
1069,-2275
1070,-2296
1071,-2364
1072,-2760
1073,-2482
1074,-2223
1075,-2122
1076,-2818
1077,-2360
1078,-2465
1079,-3181
1080,-2778
1081,-2507
1082,-3045
1083,-2329
1084,-2327
1085,-2210
1086,-2305
1087,-2689
1088,-3074
1089,-2270
1090,-2548
1091,-2499
1092,-2419
1093,-2297
1094,-2803
1095,-2768
1096,-2563
1097,-2699
1098,-3564
1099,-2711
1100,-2413
1101,-2175
1102,-2274
1103,-2484
1104,-2627
1105,-5762
1106,-2027
1107,-2503
1108,-2410
1109,-2147
1110,-2460
1111,-2607
1112,-2342
1113,-2944
1114,-3207
1115,-2845
1116,-2027
1117,-2295
1118,-2989
1119,-2197
1120,-2236
1121,-4362
1122,-2590
1123,-2997
1124,-1873
1125,-2060
1126,-2426
1127,-2340
1128,-2296
1129,-2129
1130,-2245
1131,-2167
1132,-2694
1133,-2583
1134,-3165
1135,-2306
1136,-2627
1137,-2298
1138,-1982
1139,-2047
1140,-2794
1141,-2286
1142,-2200
1143,-2465
1144,-2751
1145,-2373
1146,-4286
